0,CombatZoneResize,133,251,508,391,TLResume,,,
0,HeartTeleport,320,376,,,,,,
0,HeartMode,1,,,,,,,
0,TLPause,,,,,,,,
0.2,BoneVRepeat,128,257,95,0,180,8,150,
0,BoneVRepeat,128,366,20,0,180,8,150,
0,BoneVRepeat,503,257,95,2,180,8,150,
0,BoneVRepeat,503,366,20,2,180,8,150,
1,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,4,0,0,210,385,0,0,0.15
0,GasterBlaster,4,0,0,400,385,180,0,0.15
1,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,4,0,0,210,385,0,0,0.15
0,GasterBlaster,4,0,0,400,385,180,0,0.15
1,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,4,0,0,210,385,0,0,0.15
0,GasterBlaster,4,0,0,400,385,180,0,0.15
1,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,4,0,0,210,385,0,0,0.15
0,GasterBlaster,4,0,0,400,385,180,0,0.15
1,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,4,0,0,210,385,0,0,0.15
0,GasterBlaster,4,0,0,400,385,180,0,0.15
1,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,4,0,0,210,385,0,0,0.15
0,GasterBlaster,4,0,0,400,385,180,0,0.15
1,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,4,0,0,210,385,0,0,0.15
0,GasterBlaster,4,0,0,400,385,180,0,0.15
1,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,4,0,0,210,385,0,0,0.15
0,GasterBlaster,4,0,0,400,385,180,0,0.15
0.7,EndAttack,,,,,,,,
